customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,streaming_tv,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST-10023,Female,0,No,No,49,Month-to-month,DSL,Yes,No internet service,No,No,Mailed check,52.12,2602.29,4,Yes
CUST-10024,Female,0,No,No,5,Two year,DSL,No internet service,Yes,No internet service,Yes,Credit card,74.01,294.85,0,No
CUST-10025,Female,0,No,No,64,Month-to-month,DSL,Yes,No,No,Yes,Credit card,47.44,3064.56,1,No
CUST-10026,Male,0,No,Yes,4,Two year,Fiber optic,No internet service,Yes,No,No,Credit card,58.0,169.75,1,No
CUST-10027,Female,0,Yes,Yes,21,One year,DSL,No internet service,Yes,No internet service,Yes,Electronic check,45.65,933.21,1,No
CUST-10028,Female,0,No,No,15,Month-to-month,Fiber optic,No,No internet service,No internet service,No,Electronic check,75.17,1060.17,2,Yes
CUST-10029,Male,0,Yes,Yes,71,Month-to-month,Fiber optic,Yes,Yes,Yes,No,Bank transfer,49.96,3530.56,0,No
CUST-10030,Male,0,Yes,No,11,One year,Fiber optic,Yes,No internet service,No internet service,No,Electronic check,39.27,403.06,0,No
CUST-10031,Male,0,Yes,No,61,Month-to-month,DSL,No,No,Yes,No,Credit card,42.78,2691.49,1,No
CUST-10032,Male,0,No,Yes,16,Month-to-month,DSL,No,No,No internet service,Yes,Credit card,53.58,869.35,4,Yes
CUST-10033,Female,0,Yes,Yes,47,One year,No,No,No internet service,Yes,No,Credit card,55.39,2625.32,2,No
CUST-10034,Female,0,No,No,6,Month-to-month,Fiber optic,Yes,No,No,No,Credit card,70.03,364.8,2,No
CUST-10035,Male,0,Yes,No,28,Month-to-month,Fiber optic,No,No,Yes,Yes,Electronic check,61.77,1766.56,1,Yes
CUST-10036,Female,0,No,No,45,One year,Fiber optic,Yes,No,No internet service,No,Credit card,72.41,3340.36,0,Yes
CUST-10037,Female,0,No,Yes,51,One year,No,No,No,No internet service,No,Mailed check,74.01,3818.01,1,No
CUST-10038,Male,0,No,Yes,63,Month-to-month,DSL,Yes,No internet service,No internet service,Yes,Electronic check,79.81,4962.43,1,Yes
CUST-10039,Female,0,Yes,No,59,Two year,No,No,No,No,Yes,Mailed check,26.84,1560.35,1,No
CUST-10040,Male,0,No,No,37,Two year,DSL,No,Yes,No internet service,Yes,Credit card,42.46,1576.44,2,No
CUST-10041,Female,0,Yes,Yes,22,Month-to-month,No,No internet service,No internet service,Yes,Yes,Credit card,76.1,1645.34,1,No
CUST-10042,Female,0,No,No,19,Month-to-month,DSL,No,No,No,No,Bank transfer,69.23,1442.02,2,Yes
CUST-10043,Male,0,Yes,No,72,One year,DSL,Yes,No internet service,No internet service,Yes,Electronic check,84.54,6062.77,0,No
CUST-10044,Male,0,No,No,44,Month-to-month,DSL,Yes,No,No,No,Bank transfer,34.12,1499.11,0,No
CUST-10045,Female,0,No,No,66,Two year,No,No internet service,Yes,Yes,No,Bank transfer,55.5,3632.99,1,No
CUST-10046,Male,0,No,No,31,One year,No,No internet service,No internet service,No,Yes,Bank transfer,59.07,1842.75,2,No
CUST-10047,Female,0,No,Yes,35,Month-to-month,DSL,Yes,No internet service,No,Yes,Mailed check,68.33,2460.67,2,No
CUST-10048,Female,0,Yes,Yes,60,One year,DSL,No internet service,Yes,No internet service,Yes,Electronic check,65.72,3948.94,2,No
CUST-10049,Female,0,No,No,52,Month-to-month,DSL,No,No internet service,No internet service,Yes,Mailed check,74.38,3856.81,1,Yes
CUST-10050,Female,0,Yes,No,14,Two year,DSL,Yes,Yes,No,Yes,Credit card,62.71,824.24,1,No
CUST-10051,Male,0,No,No,38,Month-to-month,Fiber optic,No,No internet service,No internet service,Yes,Mailed check,92.45,3573.54,1,No
CUST-10052,Male,0,Yes,No,15,Two year,DSL,No internet service,No,Yes,No,Electronic check,98.82,1475.12,1,No
CUST-10053,Male,0,No,Yes,55,Month-to-month,No,Yes,No,Yes,No,Mailed check,42.64,2335.87,2,Yes
CUST-10054,Male,0,No,Yes,2,One year,No,No internet service,Yes,No,Yes,Mailed check,65.9,14.85,2,No
CUST-10055,Male,0,No,Yes,60,Two year,DSL,Yes,Yes,No internet service,Yes,Bank transfer,80.96,4851.24,2,No
CUST-10056,Female,1,No,Yes,67,Month-to-month,Fiber optic,No internet service,No internet service,No internet service,No,Bank transfer,76.71,5119.51,3,Yes
CUST-10057,Male,0,Yes,No,1,Month-to-month,No,Yes,No,No,Yes,Mailed check,56.84,0.0,3,Yes
CUST-10058,Female,0,No,No,46,Two year,No,Yes,Yes,Yes,No,Electronic check,70.1,3274.08,1,No
CUST-10059,Female,1,No,No,5,Two year,Fiber optic,Yes,No,No internet service,Yes,Mailed check,33.33,139.89,0,Yes
CUST-10060,Female,1,No,No,26,Month-to-month,DSL,No internet service,No internet service,No,No,Electronic check,64.62,1774.9,2,No
CUST-10061,Female,0,No,No,24,Month-to-month,DSL,No,Yes,Yes,Yes,Bank transfer,35.79,929.68,3,No
CUST-10062,Male,1,No,Yes,37,Two year,Fiber optic,No internet service,No internet service,No,Yes,Mailed check,75.16,2744.92,3,Yes
CUST-10063,Female,1,Yes,No,66,Month-to-month,Fiber optic,Yes,No internet service,No internet service,Yes,Mailed check,42.68,2885.35,2,No
CUST-10064,Male,0,No,No,33,One year,Fiber optic,No internet service,No,Yes,Yes,Bank transfer,68.26,2333.11,1,No
CUST-10065,Male,0,No,No,29,Month-to-month,Fiber optic,No internet service,Yes,No,No,Credit card,71.38,2042.07,0,Yes
CUST-10066,Female,0,No,No,6,Month-to-month,Fiber optic,No,No internet service,Yes,Yes,Mailed check,66.52,347.49,2,Yes
CUST-10067,Male,0,Yes,Yes,64,Two year,DSL,No internet service,No internet service,No internet service,Yes,Bank transfer,52.36,3243.27,1,No
CUST-10068,Male,0,No,Yes,22,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Bank transfer,60.79,1356.4,5,No
CUST-10069,Male,0,No,Yes,33,Two year,No,Yes,No,No internet service,No,Bank transfer,88.62,2875.79,3,No
CUST-10070,Female,0,Yes,No,6,One year,DSL,Yes,No internet service,No internet service,No,Mailed check,56.51,359.58,0,No
CUST-10071,Male,0,Yes,Yes,21,Month-to-month,DSL,Yes,Yes,No internet service,Yes,Electronic check,65.43,1345.64,1,Yes
CUST-10072,Male,0,Yes,Yes,40,Month-to-month,No,No internet service,Yes,No,No,Electronic check,53.86,2115.41,2,Yes
CUST-10073,Male,0,No,Yes,65,Month-to-month,Fiber optic,No,No,No internet service,No,Electronic check,85.41,5523.58,3,Yes
CUST-10074,Female,0,Yes,No,24,Two year,Fiber optic,No,No,Yes,Yes,Electronic check,66.56,1532.45,0,No
CUST-10075,Male,0,No,No,40,One year,No,No internet service,No,Yes,Yes,Credit card,49.72,1960.7,2,No
CUST-10076,Male,0,No,No,63,One year,Fiber optic,No internet service,No,Yes,Yes,Electronic check,65.14,4066.99,2,Yes
CUST-10077,Male,1,Yes,No,26,Month-to-month,No,No,No internet service,Yes,Yes,Credit card,60.18,1563.97,1,No
CUST-10078,Female,1,Yes,Yes,21,Month-to-month,No,No,No,No,No,Credit card,92.85,1955.06,4,Yes
CUST-10079,Female,1,Yes,No,3,Month-to-month,DSL,Yes,No,No,Yes,Electronic check,64.11,138.77,4,No
CUST-10080,Female,1,No,Yes,66,One year,Fiber optic,No internet service,No internet service,No internet service,Yes,Mailed check,37.35,2520.14,0,No
CUST-10081,Male,0,Yes,Yes,8,Month-to-month,DSL,No internet service,Yes,Yes,No,Mailed check,74.97,591.78,0,No
CUST-10082,Male,0,Yes,No,15,Month-to-month,Fiber optic,No,No internet service,No,Yes,Mailed check,100.72,1585.92,2,Yes
CUST-10083,Female,0,Yes,Yes,10,Month-to-month,Fiber optic,No,No internet service,No internet service,No,Mailed check,88.94,901.45,0,No
CUST-10084,Female,0,Yes,Yes,51,Month-to-month,Fiber optic,No internet service,No,Yes,No,Mailed check,42.94,2193.4,1,No
CUST-10085,Female,1,No,No,26,One year,No,No,No,No internet service,Yes,Bank transfer,59.63,1525.83,1,No
CUST-10086,Male,0,No,No,51,One year,Fiber optic,No,No,No,Yes,Mailed check,64.39,3314.63,0,No
CUST-10087,Male,0,Yes,Yes,44,Two year,Fiber optic,No internet service,Yes,No,Yes,Electronic check,64.63,2845.4,0,No
CUST-10088,Female,0,Yes,No,1,Month-to-month,Fiber optic,No,No,Yes,No,Mailed check,72.62,115.54,4,No
CUST-10089,Female,0,Yes,No,22,One year,Fiber optic,No internet service,No internet service,Yes,Yes,Credit card,58.12,1358.87,2,No
CUST-10090,Male,0,No,Yes,0,Month-to-month,DSL,Yes,No,No internet service,No,Credit card,46.69,0.0,2,Yes
CUST-10091,Female,0,Yes,Yes,4,Two year,Fiber optic,No,Yes,No internet service,No,Electronic check,84.04,366.83,0,Yes
CUST-10092,Female,1,No,No,34,One year,Fiber optic,No,No,No,Yes,Bank transfer,42.53,1475.28,1,No
CUST-10093,Male,0,No,No,19,Month-to-month,DSL,Yes,Yes,No,No,Credit card,48.96,953.15,2,No
CUST-10094,Female,0,Yes,No,6,Two year,Fiber optic,No internet service,No internet service,No,Yes,Electronic check,42.4,232.74,0,No
CUST-10095,Male,0,Yes,No,29,Month-to-month,Fiber optic,No,No,No,Yes,Electronic check,77.24,2219.31,4,No
CUST-10096,Male,0,Yes,Yes,32,Month-to-month,DSL,No internet service,Yes,No internet service,No,Electronic check,67.13,2118.97,0,No
CUST-10097,Female,0,No,No,72,Month-to-month,No,Yes,No,No,Yes,Mailed check,82.67,5922.05,2,No
CUST-10098,Female,0,Yes,No,48,Month-to-month,DSL,No,No,Yes,No,Credit card,49.3,2324.39,0,No
CUST-10099,Male,0,Yes,Yes,28,Two year,Fiber optic,No,No,Yes,No,Mailed check,39.94,1113.1,0,Yes
CUST-10100,Female,1,Yes,No,34,One year,Fiber optic,No,No,No internet service,Yes,Mailed check,56.12,1870.19,2,No
CUST-10101,Male,0,Yes,Yes,6,One year,DSL,Yes,No internet service,No internet service,Yes,Mailed check,61.35,389.88,0,No
CUST-10102,Female,0,Yes,No,28,Two year,Fiber optic,Yes,No internet service,Yes,Yes,Mailed check,69.18,1939.89,1,No
CUST-10103,Male,0,No,No,42,Two year,DSL,No,Yes,Yes,Yes,Credit card,31.35,1325.16,1,No
CUST-10104,Female,0,Yes,No,1,Month-to-month,DSL,Yes,Yes,Yes,No,Electronic check,74.57,60.9,1,No
CUST-10105,Female,0,Yes,No,67,Month-to-month,Fiber optic,No internet service,No internet service,No,Yes,Mailed check,47.12,3160.48,3,No
CUST-10106,Female,1,Yes,No,37,Month-to-month,DSL,No,No,No,No,Bank transfer,52.05,1913.48,1,No
CUST-10107,Female,0,No,Yes,57,Two year,No,No internet service,Yes,Yes,Yes,Electronic check,88.47,5081.77,0,No
CUST-10108,Male,0,Yes,No,20,Two year,Fiber optic,Yes,No,Yes,Yes,Electronic check,21.34,404.68,0,No
CUST-10109,Female,0,Yes,No,61,One year,DSL,No internet service,Yes,Yes,Yes,Credit card,71.45,4377.23,0,No
CUST-10110,Male,0,Yes,Yes,26,Month-to-month,No,No,Yes,No,Yes,Mailed check,71.37,1790.3,5,Yes
CUST-10111,Female,0,No,No,67,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Electronic check,48.62,3293.14,1,Yes
CUST-10112,Female,0,No,Yes,38,Two year,Fiber optic,No internet service,Yes,No,Yes,Mailed check,56.06,2102.32,2,No
CUST-10113,Male,0,No,No,46,Month-to-month,Fiber optic,Yes,Yes,Yes,No,Electronic check,89.42,4067.71,3,No
CUST-10114,Female,0,No,No,14,One year,No,Yes,No internet service,No internet service,Yes,Electronic check,104.26,1402.7,1,Yes
CUST-10115,Female,0,No,No,72,Month-to-month,DSL,No,No,No internet service,Yes,Electronic check,86.29,6151.98,1,No
CUST-10116,Male,0,Yes,No,14,Month-to-month,DSL,No internet service,No,No,Yes,Bank transfer,102.72,1414.01,0,No
CUST-10117,Male,0,Yes,Yes,2,One year,No,Yes,No internet service,No internet service,Yes,Mailed check,51.17,177.27,1,No
CUST-10118,Male,1,Yes,No,32,Two year,DSL,No,No internet service,No,Yes,Mailed check,33.4,1036.63,2,No
CUST-10119,Male,0,No,Yes,60,One year,Fiber optic,Yes,No internet service,Yes,No,Credit card,63.95,3726.54,2,No
CUST-10120,Male,0,No,Yes,67,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Mailed check,81.1,5451.97,1,No
CUST-10121,Female,0,No,No,62,Month-to-month,Fiber optic,No internet service,No internet service,Yes,Yes,Electronic check,27.9,1674.09,0,No
CUST-10122,Female,0,No,No,40,Two year,Fiber optic,Yes,No internet service,No internet service,Yes,Electronic check,46.47,1899.54,2,No
CUST-10123,Male,0,Yes,No,66,One year,No,No,Yes,No internet service,Yes,Bank transfer,48.69,3192.49,0,No
CUST-10124,Female,0,Yes,Yes,35,Month-to-month,DSL,No,No internet service,No,No,Bank transfer,72.13,2510.85,3,No
CUST-10125,Female,0,Yes,No,34,One year,Fiber optic,Yes,No internet service,Yes,No,Mailed check,69.55,2424.57,1,Yes
CUST-10126,Male,0,No,Yes,13,Month-to-month,Fiber optic,No internet service,No internet service,Yes,No,Electronic check,49.5,674.39,4,Yes
CUST-10127,Female,0,No,Yes,57,Month-to-month,DSL,No,No,No,Yes,Electronic check,68.6,3847.88,2,Yes
CUST-10128,Female,0,Yes,No,23,Two year,No,No,Yes,Yes,Yes,Mailed check,42.1,913.34,1,No
CUST-10129,Female,0,Yes,Yes,14,One year,Fiber optic,No internet service,No internet service,Yes,Yes,Bank transfer,56.47,701.4,1,No
CUST-10130,Female,0,No,Yes,26,Month-to-month,DSL,No,No,Yes,No,Bank transfer,39.7,1162.36,1,Yes
CUST-10131,Female,1,No,No,44,Month-to-month,No,No internet service,No internet service,No,Yes,Bank transfer,62.0,2684.86,1,No
CUST-10132,Male,0,No,No,19,Two year,No,Yes,Yes,Yes,Yes,Electronic check,48.99,989.3,2,Yes
CUST-10133,Female,0,No,Yes,26,One year,DSL,Yes,Yes,No internet service,No,Bank transfer,78.81,2022.45,4,No
CUST-10134,Female,1,Yes,No,24,One year,Fiber optic,Yes,No internet service,No,No,Credit card,64.48,1493.53,1,Yes
CUST-10135,Male,0,Yes,Yes,43,Month-to-month,DSL,No,No,Yes,Yes,Electronic check,60.47,2601.29,0,No
CUST-10136,Female,0,No,No,52,Two year,DSL,No internet service,No internet service,Yes,Yes,Bank transfer,100.36,5202.39,1,Yes
CUST-10137,Male,1,No,Yes,49,Two year,DSL,No internet service,No internet service,No internet service,No,Electronic check,72.67,3600.92,2,No
CUST-10138,Male,0,No,Yes,10,Month-to-month,No,No,No,No,Yes,Credit card,57.64,617.12,1,Yes
CUST-10139,Male,0,No,No,25,Month-to-month,DSL,Yes,Yes,No internet service,No,Bank transfer,53.33,1303.74,1,Yes
CUST-10140,Female,0,No,Yes,47,One year,DSL,No,No internet service,No internet service,Yes,Bank transfer,41.38,1872.86,0,No
CUST-10141,Male,0,Yes,Yes,15,Two year,Fiber optic,No,No internet service,No internet service,No,Bank transfer,63.68,895.34,1,No
CUST-10142,Male,0,Yes,Yes,5,One year,Fiber optic,No,No,No internet service,No,Bank transfer,71.15,241.63,0,No
CUST-10143,Male,0,No,No,23,Two year,DSL,No internet service,No internet service,No internet service,Yes,Mailed check,26.71,600.61,1,No
CUST-10144,Female,0,No,No,49,One year,DSL,No,Yes,No internet service,No,Credit card,37.72,1847.69,3,No
CUST-10145,Female,0,Yes,No,48,Month-to-month,Fiber optic,No internet service,No,No internet service,Yes,Electronic check,54.68,2567.5,2,Yes
CUST-10146,Male,0,No,No,9,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Credit card,43.04,324.18,3,No
CUST-10147,Male,0,Yes,No,49,Two year,Fiber optic,Yes,No,No,Yes,Credit card,65.87,3226.83,3,No
CUST-10148,Female,1,Yes,No,14,Month-to-month,DSL,Yes,No,No internet service,No,Credit card,68.64,929.36,0,No
CUST-10149,Male,0,No,No,54,Month-to-month,Fiber optic,No internet service,No,No internet service,Yes,Electronic check,62.55,3367.05,3,Yes
CUST-10150,Female,0,No,No,41,One year,Fiber optic,No,Yes,Yes,Yes,Mailed check,76.0,3097.64,1,No
CUST-10151,Male,0,Yes,No,9,Month-to-month,DSL,Yes,No internet service,Yes,No,Bank transfer,53.3,492.14,3,Yes
CUST-10152,Female,0,Yes,No,25,Two year,DSL,Yes,No,Yes,No,Bank transfer,64.08,1573.74,0,No
CUST-10153,Male,0,No,Yes,59,Month-to-month,Fiber optic,Yes,No,No internet service,Yes,Bank transfer,44.93,2626.43,0,Yes
CUST-10154,Male,1,No,No,31,Month-to-month,DSL,No internet service,No internet service,No,Yes,Bank transfer,70.69,2097.3,1,Yes
CUST-10155,Female,0,Yes,Yes,50,Month-to-month,DSL,Yes,No,No,Yes,Electronic check,66.52,3323.48,2,Yes
CUST-10156,Male,0,No,No,54,One year,No,Yes,No internet service,Yes,Yes,Credit card,41.03,2220.05,2,No
CUST-10157,Female,1,Yes,Yes,2,One year,Fiber optic,No,Yes,Yes,No,Mailed check,61.9,114.92,3,Yes
CUST-10158,Female,0,No,Yes,67,Month-to-month,Fiber optic,No,No internet service,No internet service,No,Credit card,64.24,4399.67,1,No
CUST-10159,Female,0,Yes,No,24,Month-to-month,DSL,Yes,No internet service,Yes,Yes,Bank transfer,70.62,1703.02,1,No
CUST-10160,Female,0,No,No,57,Month-to-month,Fiber optic,Yes,No internet service,Yes,Yes,Bank transfer,71.36,4059.7,2,No
CUST-10161,Female,0,No,No,34,One year,Fiber optic,No internet service,No internet service,Yes,Yes,Bank transfer,50.58,1744.68,2,No
CUST-10162,Male,0,No,No,42,Two year,No,Yes,No internet service,Yes,Yes,Credit card,80.27,3476.98,2,No
CUST-10163,Male,0,No,No,26,One year,Fiber optic,No internet service,No,No,Yes,Credit card,75.46,1974.6,0,No
CUST-10164,Male,1,No,No,62,Month-to-month,Fiber optic,No,No internet service,No internet service,Yes,Bank transfer,50.51,3020.45,1,No
CUST-10165,Female,1,No,No,8,One year,DSL,Yes,No internet service,Yes,Yes,Bank transfer,42.15,358.8,1,No
CUST-10166,Male,1,No,No,65,Month-to-month,Fiber optic,Yes,No,No,Yes,Electronic check,52.04,3338.64,6,No
CUST-10167,Male,0,No,No,15,Month-to-month,No,No internet service,No internet service,Yes,No,Electronic check,35.57,437.43,1,Yes
CUST-10168,Male,0,No,No,64,Month-to-month,Fiber optic,No,Yes,No,No,Bank transfer,69.16,4511.12,0,No
CUST-10169,Male,1,No,No,1,Month-to-month,Fiber optic,No internet service,No internet service,Yes,Yes,Mailed check,88.67,162.74,1,Yes
CUST-10170,Male,0,No,No,1,Month-to-month,No,No internet service,No internet service,No,Yes,Mailed check,93.43,48.17,1,Yes
CUST-10171,Male,0,No,No,6,Two year,No,Yes,Yes,No,No,Bank transfer,43.21,214.33,1,No
CUST-10172,Female,0,Yes,No,39,Month-to-month,DSL,Yes,Yes,No,Yes,Electronic check,80.74,3156.87,1,Yes
CUST-10173,Female,0,No,No,19,One year,DSL,No internet service,Yes,Yes,No,Mailed check,66.69,1222.85,1,No
CUST-10174,Female,0,Yes,No,43,Two year,Fiber optic,Yes,Yes,Yes,Yes,Electronic check,18.0,767.25,1,No
CUST-10175,Male,1,No,No,59,One year,No,No internet service,No internet service,Yes,No,Credit card,58.35,3406.99,1,No
CUST-10176,Female,0,Yes,No,1,Month-to-month,Fiber optic,Yes,No,No internet service,Yes,Bank transfer,56.13,36.11,5,Yes
CUST-10177,Male,0,No,No,38,One year,DSL,No internet service,No,Yes,No,Electronic check,89.22,3320.14,0,No
CUST-10178,Female,1,Yes,No,53,Month-to-month,Fiber optic,No internet service,No internet service,No,Yes,Bank transfer,47.58,2563.08,0,No
CUST-10179,Female,0,No,No,30,Month-to-month,DSL,No,No,No,No,Electronic check,76.26,2347.99,2,Yes
CUST-10180,Female,0,No,Yes,67,Month-to-month,DSL,No internet service,No internet service,No,Yes,Credit card,62.86,4206.61,2,No
CUST-10181,Male,0,Yes,No,48,Two year,DSL,No internet service,No internet service,Yes,Yes,Electronic check,36.08,1730.03,0,No
CUST-10182,Male,0,No,No,2,Two year,DSL,No internet service,Yes,No,No,Mailed check,53.96,139.38,1,No
CUST-10183,Female,0,Yes,No,39,Two year,Fiber optic,No internet service,No,No internet service,Yes,Credit card,95.63,3729.67,1,No
CUST-10184,Male,0,No,Yes,28,One year,DSL,No,No,No internet service,Yes,Bank transfer,61.53,1809.32,1,No
CUST-10185,Male,0,No,No,9,Month-to-month,DSL,Yes,No,Yes,Yes,Bank transfer,83.12,682.26,1,Yes
CUST-10186,Male,0,Yes,No,69,Two year,Fiber optic,No internet service,No internet service,No,No,Bank transfer,82.02,5702.43,1,No
CUST-10187,Male,0,Yes,Yes,16,Two year,DSL,Yes,No,Yes,No,Bank transfer,56.03,890.77,2,Yes
CUST-10188,Male,0,Yes,No,6,Month-to-month,Fiber optic,No,Yes,No internet service,Yes,Electronic check,39.33,179.92,2,No
CUST-10189,Male,0,Yes,No,16,Two year,DSL,No,No,No,No,Mailed check,41.96,783.71,1,No
CUST-10190,Female,0,Yes,No,60,Two year,DSL,No,No,No internet service,No,Credit card,94.03,5761.06,1,No
CUST-10191,Female,1,No,Yes,43,Month-to-month,Fiber optic,No,Yes,No internet service,No,Credit card,68.03,2914.9,1,No
CUST-10192,Female,0,No,Yes,59,Month-to-month,DSL,No,No internet service,Yes,Yes,Bank transfer,30.32,1811.12,2,Yes
CUST-10193,Male,0,Yes,No,33,Month-to-month,DSL,Yes,Yes,No,Yes,Credit card,81.68,2671.88,1,Yes
CUST-10194,Female,0,Yes,Yes,8,One year,DSL,No internet service,Yes,No,Yes,Credit card,29.26,218.57,3,No
CUST-10195,Male,0,Yes,No,28,Month-to-month,DSL,Yes,No,Yes,Yes,Mailed check,48.48,1300.82,2,No
CUST-10196,Male,0,No,No,14,Month-to-month,DSL,No,Yes,No internet service,Yes,Bank transfer,66.63,868.81,3,Yes
CUST-10197,Male,0,Yes,Yes,40,One year,DSL,No internet service,No internet service,No,No,Credit card,115.41,4708.61,1,Yes
CUST-10198,Male,1,Yes,No,19,Two year,DSL,No,Yes,Yes,No,Electronic check,81.32,1543.14,1,No
CUST-10199,Female,0,Yes,No,70,Two year,DSL,No internet service,No,No,No,Credit card,55.35,3877.03,0,No
CUST-10200,Male,1,Yes,No,27,One year,No,No,Yes,No internet service,Yes,Mailed check,65.57,1729.86,1,No
CUST-10201,Female,1,No,No,22,Month-to-month,DSL,Yes,No,No,Yes,Mailed check,83.39,1844.08,0,Yes
CUST-10202,Male,0,Yes,No,71,Month-to-month,DSL,No internet service,No internet service,No internet service,No,Mailed check,93.44,6559.05,3,Yes
CUST-10203,Female,0,No,Yes,37,One year,Fiber optic,Yes,No,No internet service,Yes,Mailed check,60.05,2183.16,0,Yes
CUST-10204,Male,0,No,Yes,12,Month-to-month,DSL,No internet service,No,No,No,Mailed check,60.63,667.57,2,Yes
CUST-10205,Male,1,No,No,35,One year,Fiber optic,Yes,Yes,No internet service,Yes,Bank transfer,48.4,1758.64,0,No
CUST-10206,Female,0,Yes,No,18,Two year,DSL,No internet service,Yes,No,Yes,Credit card,78.3,1326.81,1,No
CUST-10207,Female,0,No,Yes,52,One year,Fiber optic,Yes,No,No,No,Mailed check,85.52,4388.08,1,No
CUST-10208,Male,1,Yes,Yes,41,One year,No,No internet service,No,No internet service,No,Electronic check,26.23,973.05,5,Yes
CUST-10209,Female,0,No,No,53,One year,DSL,No,Yes,Yes,Yes,Credit card,57.06,2979.68,5,Yes
CUST-10210,Male,0,No,Yes,68,Two year,DSL,Yes,No internet service,No internet service,No,Mailed check,40.73,2746.66,2,No
CUST-10211,Female,0,Yes,No,53,Month-to-month,Fiber optic,Yes,No,No,Yes,Bank transfer,68.02,3653.95,0,No
CUST-10212,Female,1,No,No,24,Month-to-month,No,Yes,Yes,No,Yes,Mailed check,40.24,954.66,1,No
CUST-10213,Male,1,No,No,14,Month-to-month,Fiber optic,No internet service,Yes,No internet service,Yes,Electronic check,38.6,519.87,0,Yes
CUST-10214,Female,0,No,Yes,38,One year,Fiber optic,No,No,No,No,Mailed check,87.47,3338.86,1,Yes
CUST-10215,Male,0,Yes,Yes,32,Month-to-month,DSL,Yes,No,No internet service,No,Mailed check,61.69,1951.93,3,No
CUST-10216,Male,0,No,No,22,Month-to-month,Fiber optic,Yes,No internet service,No,Yes,Credit card,63.8,1524.1,2,Yes
CUST-10217,Male,0,Yes,No,59,One year,DSL,Yes,No,Yes,No,Bank transfer,73.63,4314.62,2,No
